
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.23 06:53:24  36.2987   27.2908        8.6      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:51:35  36.3570   27.1857        5.6      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:48:03  36.3820   27.1188        5.0      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:41:48  38.9707   26.1163        8.6      -.-  1.9  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.23 06:40:57  36.3978   27.1907        9.8      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:23:59  40.1375   24.5885       10.7      -.-  2.8  -.-   EGE DENIZI                                        İlksel
2021.04.23 06:22:16  36.3788   27.1633        7.5      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:17:58  36.3847   27.1565        5.0      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:13:04  37.4265   30.5223       16.9      -.-  1.4  -.-   UZUMLUBEL-BUCAK (BURDUR)                          İlksel
2021.04.23 06:09:18  36.3343   27.1040       24.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:08:30  36.3542   27.1387       26.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:04:21  36.3580   27.1138        7.8      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 06:03:06  36.3270   27.2158        7.8      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:56:06  36.4053   27.0365        1.9      -.-  2.7  -.-   AKDENIZ                                           İlksel
2021.04.23 05:48:43  36.3398   27.2255        8.1      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:46:48  36.3708   27.1410        6.3      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:44:07  36.4070   27.1378        1.3      -.-  2.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:38:38  37.8580   27.2553       10.4      -.-  1.4  -.-   KUSADASI (AYDIN)                                  İlksel
2021.04.23 05:36:59  36.3543   27.1627        9.7      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:34:34  38.2815   38.8422        5.0      -.-  1.9  -.-   GUNDEGER-PUTURGE (MALATYA)                        İlksel
2021.04.23 05:31:42  36.3120   27.1223       24.6      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:28:44  38.2913   38.9043        5.0      -.-  3.3  3.5   TATLICAK-PUTURGE (MALATYA)                        İlksel
2021.04.23 05:28:01  37.8403   26.8213       17.5      -.-  1.4  -.-   EGE DENIZI                                        İlksel
2021.04.23 05:20:12  37.8980   27.0990        7.8      -.-  1.6  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
